자동차사고 과실비율 인정기준 │ (별첨) 변경대비표 102
연번 (기존)기준 번호 (기존)기준 번호_세부 (신규)기준 번호 비 고
65 228 차5-1
66 228 차6-1
67 229 차13-1 대표유형
68 230 차13-3 대표유형
69 231 차13-4 대표유형
70 232 차9-1 대표유형
71 233 차9-2 대표유형
72 233-1 차13-2 대표유형
73 234 차17-1 대표유형
74 235 차17-2 대표유형
75 236 차10-1 대표유형
76 237 차45-1 대표유형
77 238 차19-1 대표유형
78 239 차19-1 대표유형에 통합
79 240-220CO 차16-1 대표유형에 통합
80 240-221CO 차16-2 대표유형에 통합
81 240-222CO 차16-3 대표유형에 통합
82 240-223CO 차16-4 대표유형에 통합
83 240-224CO 차16-5 대표유형에 통합
84 240-225CO 차8-1 대표유형에 통합
85 240-226CO 차8-2 대표유형에 통합
86 240-227CO 차8-3 대표유형에 통합
87 240-229CO 차13-1 대표유형에 통합
88 240-230CO 차13-3 대표유형에 통합
89 240-231CO 차13-4 대표유형에 통합
90 240-232CO 차9-1 대표유형에 통합
91 240-233CO 차9-2 대표유형에 통합
92 241-234CO 차17-1 대표유형에 통합
93 241-235CO1 차17-2 대표유형에 통합
94 241-235CO2 차17-2 대표유형에 통합
95 241-236CO 차10-1 대표유형에 통합
96 242 가 차31-2 대표유형
97 242 나 차44-1
