자동차사고 과실비율 인정기준 │ (별첨) 변경대비표 105
연번 (기존)기준 번호 (기존)기준 번호_세부 (신규)기준 번호 비 고
164 326 차3-6 대표유형
165 327 차3-6 대표유형에 통합
166 328 차3-1 대표유형에 통합
167 329 차3-1 대표유형에 통합
168 330 차3-2 대표유형에 통합
169 331 차3-2 대표유형에 통합
170 332 차16-1 대표유형에 통합
171 333 차16-1 대표유형에 통합
172 334 차16-2 대표유형에 통합
173 335 차16-2 대표유형에 통합
174 336 차16-3 대표유형에 통합
175 337 차16-3 대표유형에 통합
176 338 차16-4 대표유형에 통합
177 339 차16-4 대표유형에 통합
178 340 차16-5 대표유형에 통합
179 341 차16-5 대표유형에 통합
180 342 차8-3 대표유형에 통합
181 343 차8-3 대표유형에 통합
182 344 차8-2 대표유형에 통합
183 345 차8-2 대표유형에 통합
184 346 차8-1 대표유형에 통합
185 347 차8-1 대표유형에 통합
186 348 차13-1 대표유형에 통합
187 348-1 차13-2 대표유형에 통합
188 349 차13-1 대표유형에 통합
189 349-1 차13-2 대표유형에 통합
190 350 차13-3 대표유형에 통합
191 351 차13-3 대표유형에 통합
192 352 차13-4 대표유형에 통합
193 353 차13-4 대표유형에 통합
194 354 차9-1 대표유형에 통합
195 355 차9-1 대표유형에 통합
196 356 차9-2 대표유형에 통합
